EmailAddress,UserPrincipalName,Site,MailboxSizeGB,AccountType
4FunBird@domain3.com,4FunBird@domain3.com,TOR,10,Contractor
4SteveDuck@domain4.com,4SteveDuck@domain4.com,SEA,9,Employee
a@domain2.com,a@domain2.com,BOS,92,Contractor
A54u@domain5.com,A54@domain5.com,LAS,8,Contractor
A5Burrito@domain6.com,A5burrito@domain6.com,BRZ,6,Employee
A5BurritoGom@domain7.com,A5BurritoGom@domain7.com,RIO,5,Contractor
A5grande@domain8.com,A5grande@domain8.com,TOR,4,Employee
A5Gumbo@domain9.com,A5Gumbo@domain9.com,SEA,3,Contractor
A5lphikall@domain10.com,A5lphikall@domain10.com,LAS,1,Employee
A5resticet@domain11.com,A5resticet@domain11.com,BRZ,5,Contractor
AgitatedObligated@domain5.com,AgitatedObligated@domain5.com,TOR,55,Contractor
AmuckDuck@domain19.com,AmuckDuck@domain19.com,RIO,6,Contractor
answer@domain2.com,answer@domain2.com,SEA,2,Contractor
appears@domain2.com,appears@domain2.com,NYC,97,Employee
AttractiveWil@domain6.com,AttractiveWil@domain6.com,SEA,75,Employee
BirdA5@domain12.com,BirdA5@domain12.com,RIO,20,Employee
BitJohnWick@domain7.com,BitJohnWick@domain7.com,LAS,0.01,Contractor
blahahah@domain2.com,blahahaha@domain2.com,SEA,47,Employee
Burrito@domain13.com,Burrito@domain13.com,TOR,42,Contractor
Burritone@domain14.com,Burritone@domain14.com,SEA,55,Employee
ButterBurritos@domain15.com,ButterBurritos@domain15.com,LAS,12,Contractor
ChickenBugs@domain16.com,ChickenBugs@domain16.com,BRZ,14,Employee
ChickenChoice@domain20.com,ChickenChoice@domain20.com,TOR,5,Employee
ChickenDuck@domain21.com,ChickenDuck@domain21.com,SEA,4,Contractor
ChickenReady@domain17.com,ChickenReady@domain17.com,RIO,55,Contractor
Chickents@domain18.com,Chickents@domain18.com,TOR,75,Employee
ClincherDenzel@domain8.com,ClincherDenzel@domain8.com,BRZ,0.2,Employee
CookedCookery@domain19.com,CookedCookery@domain19.com,SEA,0.01,Contractor
CornedA5@domain20.com,CornedA5@domain20.com,TOR,0.2,Employee
CornettCorned@domain21.com,CornettCorned@domain21.com,SEA,0.9,Contractor
DBeautyRdr2@domain11.com,DBeautyRdr2@domain11.com,BRZ,55,Contractor
DDenzel@domain9.com,DDenzel@domain9.com,RIO,0.9,Contractor
DenzelDWil@domain10.com,DenzelDWil@domain10.com,TOR,10,Employee
Denzellinn@domain11.com,Denzellinn@domain11.com,SEA,9,Contractor
DenzelPonyD@domain12.com,DenzelPonyD@domain12.com,LAS,8,Employee
DGuarantee@domain12.com,DGuarantee@domain12.com,RIO,12,Employee
DJrYeah@domain13.com,DJrYeah@domain13.com,TOR,14,Contractor
DMachete@domain14.com,DMachete@domain14.com,SEA,55,Employee
DMoon@domain13.com,DMoon@domain13.com,BRZ,6,Contractor
DObligatedDenzel@domain14.com,DObligatedDenzel@domain14.com,RIO,5,Employee
doing@domain2.com,doing@domain2.com,NYC,87,Employee
dont@domain2.com,dont@domain2.com,SEA,50,Employee
Dontion@domain15.com,Dontion@domain15.com,TOR,4,Contractor
DoubtlessDouc@domain16.com,DoubtlessDouc@domain16.com,SEA,3,Employee
DRdr2@domain15.com,DRdr2@domain15.com,TOR,75,Contractor
DRiot@domain16.com,DRiot@domain16.com,SEA,0.01,Employee
DuckBabixz@domain22.com,DuckBabixz@domain22.com,LAS,3,Employee
DuckBel@domain23.com,DuckBel@domain23.com,BRZ,1,Contractor
DuckBird@domain24.com,DuckBird@domain24.com,RIO,5,Employee
DuckBugs@domain3.com,DuckBugs@domain3.com,TOR,20,Contractor
